Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Rocket.Chat,https://www.crunchbase.com/organization/rocket-chat,"Developer Platform, Developer Tools, Enterprise Software, Messaging","Porto Alegre, Rio Grande do Sul, Brazil",Rocket.Chat is a platform that improves internal and external communication within a controlled and secure environment.,"2,024",Latin America,Less than $1M,Active,2016-10-06,day,,,,,For Profit,https://rocket.chat,https://twitter.com/RocketChat,https://www.facebook.com/RocketChat,https://www.linkedin.com/company/rocket-chat,contact@rocket.chat,+1 (415) 914-8131,25,,"Rocket.Chat is a fast-growing enterprise communication and collaboration platform that is now installed on over 500k servers and counts over 12m users worldwide as well as having an active, passionate community of over 1k developer-contributors who help Rocket.Chat’s core team of developers to constantly improve the product. Rocket.Chat’s long-term vision is to replace email with a real-time federated communications platform and to establish a marketplace that will nurture app-building and offer services to enable businesses to be built using Rocket.Chat. The platform improves internal and external communication within a controlled and secure environment. Users can run Rocket.Chat on-premises or on cloud and a range of features are at their disposal to tailor their platform: individual and group communication, video conferencing, file uploading, screen sharing, LiveChat, and integration with a variety of different communications platforms.",,,,,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications, Software",1,Gabriel Engel,51-100,3,Early Stage Venture,2021-02-03,19000000,USD,19000000,Series A,19000000,USD,19000000,Series A,26900313,USD,26900313,26900313,USD,26900313,"e.ventures, New Enterprise Associates, Valor Capital Group, Monashees, Greycroft",4,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2,"2,177",85,8,"70,871",46,,,,,,,,
Petrobras,https://www.crunchbase.com/organization/petrobras,"Energy, Energy Efficiency, Oil and Gas","Rio, Rio de Janeiro, Brazil",Petrobras supplies the energy that propels development and ensures the future of the society.,"2,117",Latin America,$10B+,Active,1953-10-03,day,2006-05-12,day,,,For Profit,http://www.petrobras.com.br/,http://twitter.com/petrobrasglobal,http://www.facebook.com/petrobras,http://www.linkedin.com/company/petrobras,sac@petrobras.com.br,(080) 072-8900,"1,527",,"Petrobras is driven by the challenge of supplying the energy that propels development and ensures the future of the society with competency, ethics, cordiality, and respect for diversity. They have built a track record of overcoming challenges since 1953, when the company was created. The main one was developing technology to explore and produce oil in deep and ultra-deep waters, where upwards of 90% of their reserves are nestled. Petrobras' Research Center is the biggest in Latin America, and is in constant growth. They undertake their activities with socio-environmental responsibility, and that is why they are among the world's most sustainable corporations. They have been listed on the Dow Jones Sustainability Index since 2006, with the spotlight on the ongoing improvement of the corporate governance practices and on the adoption of international transparency standards.",,,1,1,,,,,,,,,,"Energy, Natural Resources, Sustainability",1,Getúlio Vargas,10001+,2,M&A,2017-12-18,,,,Post-IPO Equity,,,,Post-IPO Equity,,,,6750000000,USD,6750000000,Equinor,1,1,,Was Acquired,Petrobras acquired by Southern Cross Group,https://www.crunchbase.com/acquisition/southern-cross-group-acquires-petrobras--bfe3f1c8,Southern Cross Group,https://www.crunchbase.com/organization/southern-cross-group,2016-05-05,day,,,,Leveraged Buyout,,Public,2006-05-12,,,,,,,,,PETR4,https://www.crunchbase.com/ipo/petrobras-ipo--59231a47,BVM - Montevideo Stock Exchange,,,"2,276",20,16,"2,514",,13,0,Physical Or Chemical Processes Or Apparatus In General,,,,,
Creditas,https://www.crunchbase.com/organization/creditas,"Banking, Consumer Lending, Finance, Financial Services, FinTech, Personal Finance","São Paulo, Sao Paulo, Brazil",Creditas is a consumer loaning startup that operates a digital platform providing secured loans and low interest rates.,"2,199",Latin America,$50M to $100M,Active,2012-04-16,day,,,,,For Profit,http://www.creditas.com.br,https://twitter.com/creditasbr,https://www.facebook.com/creditasbr,https://www.linkedin.com/company/creditasbr/,sergio@creditas.com.br,+55-11-3522-8009,25,Unicorn,"Creditas is a financial technology company, operates a digital platform that offers secured consumer loans. It uses credit scoring systems and borrowers’ assets, such as homes and automobiles as collateral to offer loans.  Sergio Furio founded BankFacil in 2012 that later became Creditas. It has its headquarters in São Paulo in Brazil.",,,,,,,,,,,,,,"Financial Services, Lending and Investments",1,Sergio Furio,1001-5000,8,Late Stage Venture,2020-12-18,255000000,USD,255000000,Series E,255000000,USD,255000000,Series E,568900000,USD,568900000,568950000,USD,568950000,"SoftBank, International Finance Corporation, e.ventures, Endeavor Catalyst, Amadeus Capital Partners",8,21,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"2,361",59,,,23,,,,,,,,
Zenklub,https://www.crunchbase.com/organization/zenklub,"Health Care, Internet, Psychology","São Paulo, Sao Paulo, Brazil",Zenklub is the mental and emotional wellbeing platform in Brazil.,"2,371",Latin America,$1M to $10M,Active,2016-02-01,month,,,,,For Profit,http://www.zenklub.com.br,https://www.twitter.com/zenklub,https://www.facebook.com/thezenklub/,https://www.linkedin.com/company/zenklub/,info@zenklub.com,,2,,Zenklub is the place where everyone can challenge themselves to live better. Its mission is to change the way people see and devote their time to caring for their own emotional well-being.,,,,,,,,,,,,,,"Health Care, Internet Services",2,"Jose Simoes, Rui Brandão",11-50,3,Early Stage Venture,2021-02-10,45000000,BRL,8354373,Series A,45000000,BRL,8354373,Series A,11913644,USD,11913644,11913644,USD,11913644,"All Iron Ventures, Indico Capital Partners, GK Ventures, 200M, SK Tarpon",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"2,539",65,,,23,,,,,,,,
EBANX,https://www.crunchbase.com/organization/ebanx,"E-Commerce, Financial Services, FinTech, Payments","Curitiba, Parana, Brazil",EBANX is an integrated financial services company offering an end-to-end payment solution across the entire e-commerce transaction flow.,"2,561",Latin America,$50M to $100M,Active,2012-02-01,month,,,,,For Profit,https://business.ebanx.com/en/,https://twitter.com/ebanxbr,https://www.facebook.com/ebanx,https://www.linkedin.com/company/ebanx-for-business,bizdev@ebanx.com,+554130448500,62,Unicorn,"EBANX is an integrated international financial services company offering an end-to-end payment solution across the entire e-commerce transaction flow. It also helps international business to grow faster in LatAm offering a local payments experience for your customers. ' In 2015, The company received EY Entrepreneur of the Year Award, Best International CNP Program Award, and Endeavor “O Pulo do Gato” Award. EBANX was founded in February 2012 and is headquartered in Parana, Brazil.",,,1,1,,,,,,,,,,"Commerce and Shopping, Financial Services, Payments",3,"Alphonse Voigt, João Del Valle, Wagner Ruiz",501-1000,2,,2019-10-16,,,,Venture - Series Unknown,,,,Venture - Series Unknown,30000000,USD,30000000,30000000,USD,30000000,"Endeavor Catalyst, FTV Capital",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,4,"2,739",118,1,"35,111",,,,,,,,,
MadeiraMadeira,https://www.crunchbase.com/organization/madeiramadeira,"E-Commerce, Furniture, Home and Garden, Home Decor, Home Improvement, Marketplace","Curitiba, Parana, Brazil",MadeiraMadeira is an online marketplace that specializes in home products.,"2,811",Latin America,$100M to $500M,Active,2009-01-01,year,,,,,For Profit,http://www.madeiramadeira.com.br,https://twitter.com/madeiramadeira,https://www.facebook.com/madeiramadeiraloja,https://www.linkedin.com/company/madeiramadeira/,contato@madeiramadeira.com.br,,10,Unicorn,"MadeiraMadeira is an online marketplace that specializes in home products. It offers over 300,000 products so customers can build, furnish, renovate, and decorate their homes using only their smartphone or computer. MadeiraMadeira was founded in 2009 and is based in Curitiba, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Real Estate",3,"Daniel Scandian, Marcelo Scandian, Robson Privado",1001-5000,8,Late Stage Venture,2021-01-07,190000000,USD,190000000,Series E,190000000,USD,190000000,Series E,335984000,USD,335984000,338820267,USD,338820267,"SoftBank, Flybridge, Monashees, Kaszek Ventures, Dynamo",3,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"2,998",76,,,26,,,,,,,,
Rebel,https://www.crunchbase.com/organization/rebel-e614,"Blockchain, Consumer Lending, Credit, Financial Services, FinTech, Personal Finance","São Paulo, Sao Paulo, Brazil","Alternative Online Lending, FinTech, online credit, Personal financial management","2,898",Latin America,Less than $1M,Active,2016-01-01,year,,,,,For Profit,http://www.rebel.com.br,https://twitter.com/sejarebel?lang=en,https://www.facebook.com/sejarebel,https://www.linkedin.com/company/sejarebel,andre@rebel.com.br,+551145642294,170,,"REBEL is a data, tech and analytics-driven online platform led by technology and finance entrepreneurs. Founded in 2016, REBEL offers its customers fast, easy and trust-worthy credit of up to 50,000 reais for up to 24 months at interest rates as low as 2.9% per month. In addition, REBEL offers consumers free access to its proprietary REBEL Score, a credit score designed to transparently explain an individual’s credit profile and to suggest actionable steps to improve financial health.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Other",3,"Andre Botelho Bastos, Paulo Asterio Nunes, Rafael Pereira",51-100,8,Early Stage Venture,2019-12-03,10000000,USD,10000000,Series B,10000000,USD,10000000,Series B,15240113,USD,15240113,62111288,USD,62111288,"Amazon Web Services, Franklin Templeton Investments, Monashees, FinTech Collective, Google Launchpad Accelerator",6,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2,"3,087",49,,,,,,,,,,,
XP Investimentos,https://www.crunchbase.com/organization/xp-investimentos,"Education, Finance","Rio De Janeiro, Rio de Janeiro, Brazil",XP Investimentos is a brokerage firm providing financial education from investment basics to advanced portfolio management strategies.,"2,938",Latin America,$10M to $50M,Active,1997-01-01,year,,,,,For Profit,http://www.xpi.com.br,http://twitter.com/xpcorretora,https://www.facebook.com/xpinvestimentos,https://www.linkedin.com/company/xp-investimentos-cctvm-s-a,atendimento@xpi.com.br,+55 4003-3710,17,,"XP Investimentos, a Brazil-based independent brokerage firm. The company provides individuals with access to financial education with tipics ranging from investment basics to advanced portfolio management strategies. The XP Group also includes an asset management company with more than US$350m under management, and an insurance broker.",,,2,2,2,,,,,,,,,"Education, Financial Services",1,Marcelo Maisonnave de Oliveira,501-1000,3,Private Equity,2016-04-15,,,,Private Equity,,,,Private Equity,229000000,USD,229000000,229000000,USD,229000000,"General Atlantic, Actis",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"3,130",108,9,"186,866",33,,,,,,,,
QuintoAndar,https://www.crunchbase.com/organization/quintoandar,"Internet, Marketplace, Property Management, Real Estate, Rental, Software","São Paulo, Sao Paulo, Brazil",QuintoAndar is a platform that simplifies the rental of residential real estate for landlords and renters.,"3,198",Latin America,$10M to $50M,Active,2012-01-01,year,,,,,For Profit,http://quintoandar.com.br,https://twitter.com/quintoandar,https://www.facebook.com/quintoandar.com.br,https://www.linkedin.com/company/quintoandar-com-br/,imprensa@quintoandar.com.br,+55 11 4000-1161,18,Unicorn,"QuintoAndar is a platform that simplifies the rental of residential real estate for landlords and renters. With QuintoAndar, customers can work with a top-notch team that uses the best practices and best tools, be part of a high-impact project that will affect many people's lives, have autonomy to make decisions with no endless meetings, and work in an informal environment and horizontal hierarchy. Founded in February 2013 by Gabriel Braga and Andre Penha, it is headquartered in São Paulo in Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Internet Services, Real Estate, Software",2,"Andre Penha, Gabriel Braga",1001-5000,6,Late Stage Venture,2019-09-10,250000000,USD,250000000,Series D,250000000,USD,250000000,Series D,335220291,USD,335220291,335270291,USD,335270291,"SoftBank, General Atlantic, Dragoneer Investment Group, Graph Ventures, QED Investors",4,20,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"3,403",4,5,"146,540",28,,,,,,,,
Banco Inter,https://www.crunchbase.com/organization/banco-inter,"Banking, Credit Cards, Finance, Financial Services, FinTech, Lending","Belo Horizonte, Minas Gerais, Brazil",Banco Inter provides digital banking services in Brazil.,"3,468",Latin America,$10M to $50M,Active,1994-09-16,day,2018-05-18,day,,,For Profit,https://www.bancointer.com.br,https://twitter.com/bancointer,https://www.facebook.com/bancointer,https://www.linkedin.com/company/banco-inter,,55 3003 4070,11,,"Banco Inter provides digital banking services in Brazil. It offers checking, personal, corporate, and microenterprise accounts; loans and credit cards; and investment and insurance services.  Rubens Menin Teixeira de Souza and Marcos Alberto Cabaleiro Fernandez founded Banco Inter in 1994. It has its headquarters in Belo Horizonte in Brazil.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Payments",,,501-1000,1,IPO,2019-07-30,330000000,USD,330000000,Post-IPO Equity,330000000,USD,330000000,Post-IPO Equity,330000000,USD,330000000,330000000,USD,330000000,SoftBank,,1,,,,,,,,,,,,,,Public,2018-05-18,,,,,,,,,BIDI4,https://www.crunchbase.com/ipo/banco-inter-ipo--bbbd3026,B3 - Brazil Stock Exchange and OTC Market,,1,"3,681",83,1,,24,,,,,,,,
Olist,https://www.crunchbase.com/organization/olist,"E-Commerce, E-Commerce Platforms, Marketplace, Retail, Small and Medium Businesses","Curitiba, Parana, Brazil","Olist operates an online e-commerce site for sellers, that connects merchants and their products to main marketplaces.","3,507",Latin America,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://olist.com,https://www.twitter.com/olistbr,https://www.facebook.com/olistbr,https://www.linkedin.com/company/olist/,br@olist.com,+554132039468,8,,"Olist operates an online e-commerce site for sellers, that connects merchants and their products to the main marketplaces of Brazil. It has developed a platform for shopkeepers of all sizes and segments to register their products to be sold at the Olist store within Brazil's top retailers. The company connects to the structuring of a solid business and focuses on the excellence of services provided to tenants and end consumers. It invests in a sustainable and fair business model for all involved. Olist was founded in 2015 and is based in Curitiba, Brazil.",,,1,1,,,,,,,,,,"Commerce and Shopping, Internet Services, Other",1,Tiago Dalvi,101-250,7,Late Stage Venture,2020-11-26,58000000,USD,58000000,Series D,58000000,USD,58000000,Series D,111485000,USD,111485000,113485000,USD,113485000,"SoftBank, FJ Labs, 500 Startups, Valor Capital Group, Endeavor Catalyst",2,18,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"3,720",83,,,36,,,,,,,,
CargoX,https://www.crunchbase.com/organization/cargox-com-br,"Freight Service, Information Services, Information Technology, Marketplace, Trading Platform, Transportation","São Paulo, Sao Paulo, Brazil",CargoX is a technology freight broker that provides shipping companies with a smart and efficient solution.,"3,767",Latin America,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,http://www.cargox.com.br,https://www.twitter.com/cargo_x,https://www.facebook.com/cargoxtransportes/info/?entry_point=page_nav_about_item&tab=page_info,https://www.linkedin.com/company/cargox-transportes,contato@cargox.com.br,0800 025 8851,17,,"CargoX is a technology freight marketplace that provides shipping companies and carriers a smart and efficient solution to transport the most diverse types of products in any parts of LATAM. Through technology, we connect over 10 thousand shippers with 1.4 million trucks to eliminate excess capacity. CargoX save on shipping costs for shippers, increase earnings for truckers and reduces C02 emissions generated by empty trucks on the road.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Information Technology, Lending and Investments, Transportation",3,"Dmytro Kromakov, Federico Vega, Liana Mayumi Ohno Suzaki",501-1000,8,Late Stage Venture,2020-06-19,3000000,USD,3000000,Series E,3000000,USD,3000000,Series E,190250000,USD,190250000,190250000,USD,190250000,"Goldman Sachs, Valor Capital Group, Farallon Capital Management, Blackstone Group, Qualcomm Ventures",4,15,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"3,990",69,2,,,0,2,,Advertising; business,,,,
Contabilizei,https://www.crunchbase.com/organization/contabilizei-contabilidade-online,"Accounting, Information Technology, Internet, SaaS, Software","Curitiba, Parana, Brazil",Contabilizei is a Tax Filing and Accounting SaaS Platform for micro and small enterprises in Brazil.,"4,142",Latin America,$1M to $10M,Active,2014-01-01,month,,,,,For Profit,https://www.contabilizei.com.br,https://twitter.com/contabilizei,http://www.facebook.com/contabilizei,https://www.linkedin.com/company/contabilizei/,ir@contabilizei.com.br,,11,,"Contabilizei offers an online accounting service for small and micro enterprises. The company positively impacted the lives of thousands of micro and small businesses by implementing cost-effective, intelligent online accounting. Fábio Bacarin and Vitor Torres founded it in January 2014, with its headquarters in Curitiba in Brazil.",,,,,,,,,,,,,,"Financial Services, Information Technology, Internet Services, Professional Services, Software",2,"Fábio Bacarin, Vitor Torres",251-500,6,Late Stage Venture,2021-01-14,,,,Series C,,,,Series C,20000000,USD,20000000,20050000,USD,20050000,"SoftBank, Point72 Ventures, International Finance Corporation, Endeavor Catalyst, Quona Capital",6,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"4,381",108,,,29,,,,,,,,
Neon,https://www.crunchbase.com/organization/banco-neon,"Banking, Credit, Financial Services, FinTech","São Paulo, Sao Paulo, Brazil","Neon is a digital bank that offers credit cards, personal loans, and investment products, among other services.","4,186",Latin America,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://neon.com.br/,https://twitter.com/timeneon,https://www.facebook.com/timeneon/,https://www.linkedin.com/company/timeneon/,oi@neon.com.br,0800 941 2112,27,,"Neon is a Brazilian fintech, founded in 2016, whose mission is to unite technology and design to redesign and simplify people's financial experience. With over 250 employees, in 2018 Neon raised R $ 72 million of Series A investments in a round led by Propel Ventures, Monashees, and Quona, which also featured Yellow Ventures, Omydiar Network, and Tera Capital. With a digital account being the main product, Neon has a partnership with Banco Votorantim for the custody and settlement of its accounts.",,,,,,,,,,,,,,"Financial Services, Lending and Investments",1,Pedro Conrade,501-1000,5,Late Stage Venture,2020-09-02,300000000,USD,300000000,Series C,300000000,USD,300000000,Series C,420333922,USD,420333922,420333922,USD,420333922,"General Atlantic, Vulcan Capital, Flourish Ventures, Endeavor Catalyst, Quona Capital",6,13,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"4,428",,,,15,,,,,,,,
Cortex,https://www.crunchbase.com/organization/cortex-intelligence,"Analytics, Big Data, Customer Service, Information Technology, Software","Rio De Janeiro, Rio de Janeiro, Brazil",Cortex Intelligence is a data analytics platform for marketing and sales which allows clients to produce the simplest analysis on demand.,"4,231",Latin America,$1M to $10M,Active,2003-12-01,day,,,,,For Profit,http://www.cortex-intelligence.com,https://www.twitter.com/becortex,https://www.facebook.com/beCortex/,https://www.linkedin.com/company/cortex-intelligence/,marketing@cortex-intelligence.com,+ 55 21 3282 3150,5,,Cortex Intelligence is a data analytics platform for marketing and sales which allows clients to produce the simplest or most complex analysis on demand.,,,,,,,,,,,,,,"Data and Analytics, Information Technology, Other, Professional Services, Software",4,"Christian Nunes Aranha, Daniel Marreco, Daniel Pires Luiz da Costa, Leonardo Rangel",101-250,3,Early Stage Venture,2020-06-01,30000000,USD,30000000,Series B,30000000,USD,30000000,Series B,30000000,USD,30000000,30000000,USD,30000000,"SoftBank, e.ventures, Endeavor Catalyst, Riverwood Capital, Redpoint eventures",2,6,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"4,474",32,2,131,18,,,,,,,,
bxblue,https://www.crunchbase.com/organization/bxblue,"Credit, Financial Services, FinTech, Marketplace","Brasília, Rio Grande do Norte, Brazil",bxblue is a marketplace for payroll loans in Brazil.,"4,295",Latin America,,Active,2016-08-01,day,,,,,For Profit,https://www.bxblue.com.br,https://twitter.com/bxbluebr,https://www.facebook.com/bxbluebr,https://www.linkedin.com/company-beta/10936124,contato@bxblue.com.br,+55614020-1746,5,,"bxblue is a marketplace for personal loans in Brazil explicitly targeting pensioners and Government workers because they can they take loans secured by their guaranteed income. Because of that banks can deduct the payment directly from the paycheck, leading to an apr 10x lower than credit cards. Payroll secured loans are the most affordable personal loan in Brazil, and they represent 60% of the personal loans in the country. It is a 40bn dollar/year marke, completely offline. We are taking this entire market online.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Lending and Investments",3,"Fabrício Buzeto, Gustavo Gorenstein, Roberto Braga",11-50,5,Early Stage Venture,2021-01-27,38000000,BRL,7018775,Series A,38000000,BRL,7018775,Series A,38000000,BRL,7018775,38000000,BRL,7018775,"FJ Labs, FundersClub, Y Combinator, Global Founders Capital, AltaIR Capital",2,17,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"4,540",58,,,13,,,,,,,,
Geru,https://www.crunchbase.com/organization/geru,"Consumer Lending, Credit, Finance, Financial Services, FinTech, Internet, Marketplace, Personal Finance","São Paulo, Sao Paulo, Brazil","Geru is a simple, fast, fair, and cost-effective online loan platform that connects borrowers and investors.","4,411",Latin America,$10M to $50M,Active,2013-01-01,year,,,,,For Profit,https://www.geru.com.br,https://twitter.com/geru_br,https://www.facebook.com/pg/GeruBrasil/,https://www.linkedin.com/company/geru,contato@geru.com.br,55 11 3132-7266,17,,"Geru is a Brazilian lending marketplace created in 2013 offering personal unsecured term loans for prime and near prime borrowerers through a fast, simple, and transparent online experience. Lending operations started in 2015. Developed and started Brazil’s fully digital payroll loan product in 2018. Geru developed its own credit score model using unstructured data. Rates are lower than market and vary from 25% to 80% p.a., depending on the applicant’s score. The company is based in São Paulo, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Internet Services, Lending and Investments",3,"Karin Thies, Sandro Reiss, Tomás Correa",51-100,11,Early Stage Venture,2018-03-22,10000000,BRL,3016142,Convertible Note,21491447,BRL,6643055,Series A,27641479,BRL,9048438,536632268,BRL,166088750,"Chromo Invest, Capital Lab Ventures",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"4,663",103,,,26,,,,,,,,
Favo,https://www.crunchbase.com/organization/favo-6cd9,"E-Commerce, Retail, Shopping","São Paulo, Sao Paulo, Brazil",Favo is a supermarket shopping community that connects local entrepreneurs and neighbors.,"4,624",Latin America,,Active,2019-01-01,year,,,,,,https://mercadofavo.com/,,https://www.facebook.com/pg/mercadofavobr,https://www.linkedin.com/company/mercadofavo/about/,,,2,,Favo is a supermarket shopping community that connects local entrepreneurs and neighbors.,,,,,,,,,,,,,,Commerce and Shopping,,,101-250,1,Early Stage Venture,2021-01-20,35000000,BRL,6613881,Series A,35000000,BRL,6613881,Series A,35000000,BRL,6613881,35000000,BRL,6613881,"Global Founders Capital, Elevar Equity",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"4,879",22,,,,,,,,,,,
Intelipost,https://www.crunchbase.com/organization/intelipost,"E-Commerce, Enterprise Software, Logistics, SaaS, Shipping","São Paulo, Sao Paulo, Brazil",Intelipost is an e-commerce and omni-channel logistics technology company.,"4,626",Latin America,Less than $1M,Active,2014-01-01,month,,,,,For Profit,https://www.intelipost.com.br,http://twitter.com/intelipost,https://www.facebook.com/intelipost/,https://www.linkedin.com/company/intelipost/,info@intelipost.com.br,55 (11) 3385-0700,53,,"Aiming to simplify logistics in the Latin American market, Intelipost is the leading freight management platform in Brazil. With a solution based on cloud logistics, which smartly integrates the entire logistics chain with highly reliable technology, the company serves more than 4,000 stores, and performs, on average, 1 billion freight quotations and more than 19 million orders per month. Headquartered in São Paulo, the company was created in 2014 by Stefan Rehm and Gabriel Drummond, and currently has 240 employees. Please visit intelipost.com.br/en",,,,,,,,,,,,,,"Commerce and Shopping, Software, Transportation",2,"Gabriel Drummond, Stefan Rehm",101-250,3,Early Stage Venture,2020-12-08,32000000,USD,32000000,Series B,32000000,USD,32000000,Series B,36700000,USD,36700000,36700000,USD,36700000,"Project A Ventures, Riverwood Capital, Performa Investimentos",3,3,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"4,881",87,8,,42,,,,,,,,
GetNinjas,https://www.crunchbase.com/organization/getninjas,"Classifieds, E-Commerce, Local Advertising, Marketplace, Mobile","São Paulo, Sao Paulo, Brazil","GetNinjas is a local services marketplace in LATAM, for hiring cleaners, private lessons, and hundreds of other services.","5,048",Latin America,$10M to $50M,Active,2011-04-01,day,,,,,For Profit,https://www.getninjas.com.br,https://twitter.com/getninjas,https://www.facebook.com/GetNinjas,https://www.linkedin.com/company/getninjas/,contato@getninjas.com.br,,11,,"GetNinjas is a local services marketplace in LATAM, for hiring cleaners, private lessons, and hundreds of other services. It connects clients with over 650,000 service providers, generating over U$100M in GMV. GetNinjas was launched in 2011 and is based in São Paulo, Brazil.",,,,,,,,,,,,,,"Advertising, Commerce and Shopping, Mobile, Sales and Marketing",1,Eduardo L'Hotellier,51-100,5,Early Stage Venture,2016-05-11,50000,USD,50000,Non-equity Assistance,40000000,BRL,13036267,Series B,16736267,USD,16736267,16786267,USD,16786267,"Tiger Global Management, Monashees, Kaszek Ventures, Google Launchpad Accelerator, Otto Group",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"5,325",85,2,"269,517",16,,,,,,,,
99,https://www.crunchbase.com/organization/99taxis,"Android, Car Sharing, Internet, iOS, Mobile, SaaS, Software","São Paulo, Sao Paulo, Brazil",99 provides taxi services through its application software that enables users to request taxis by phone in Brazil.,"5,102",Latin America,$50M to $100M,Active,2012-07-01,month,2018-01-03,day,,,For Profit,http://99app.com,https://twitter.com/99,https://www.facebook.com/voude99/,https://www.linkedin.com/company/99app/,contato@99app.com,55 11 4003 9910,26,,"99 provides taxi services through its application software that enables users to request taxis by phone in Brazil. It offers its services through 99Taxis system, a platform that optimizes the initial contact between ‘drivers’ and ‘passengers’.  99’s platform, 99Taxis allows registered passengers to locate and contact drivers in their area to directly and exclusively request the provision of transportation services. Ariel Lambrecht, Paulo Veras, and Renato Freitas founded it in July 2012, with its headquarters in São Paulo in Brazil as a subsidiary of Didi Chuxing Technology since December 31, 2017.",,,,,,,,,,,,,,"Internet Services, Mobile, Platforms, Software, Transportation",4,"Ariel Lambrecht, Paulo Veras, Paulo Veras, Renato Freitas",501-1000,5,M&A,2017-05-24,100000000,USD,100000000,Series C,100000000,USD,100000000,Series C,241329770,USD,241329770,241329770,USD,241329770,"Tiger Global Management, Didi, Qualcomm, SoftBank Vision Fund, Monashees",4,12,,Was Acquired,99 acquired by Didi,https://www.crunchbase.com/acquisition/didi-dache-acquires-99taxis--795ff48f,Didi,https://www.crunchbase.com/organization/didi-dache,2018-01-03,day,1000000000,USD,1000000000,,,Private,,,,,,,,,,,,,,1,"5,379",31,1,,20,,,,,,,,
